59,Verenigde Staten van Amerika,Anne McClain,14/03/2019
59,Rusland,Aleksey Ovchinin,14/03/2019
59,Verenigde Staten van Amerika,Nick Hague,14/03/2019
59,Verenigde Staten van Amerika,Christina Koch,14/03/2019
60,Rusland,Aleksey Ovchinin,20/07/2019
60,Verenigde Staten van Amerika,Nick Hague,20/07/2019
60,Verenigde Staten van Amerika,Christina Koch,20/07/2019
60,Rusland,Aleksandr Skvortsov,20/07/2019
60,Italië,Luca Parmitano,20/07/2019
60,Verenigde Staten van Amerika,Andrew R. Morgan,20/07/2019
61,Italië,Luca Parmitano,25/09/2019
61,Rusland,Aleksandr Skvortsov,25/09/2019
61,Verenigde Staten van Amerika,Christina Koch,25/09/2019
61,Verenigde Staten van Amerika,Andrew R. Morgan,25/09/2019
61,Rusland,Oleg Skripochka,25/09/2019
61,Verenigde Staten van Amerika,Jessica Meir,25/09/2019
62,Rusland,Oleg Skripochka,09/04/2020
62,Verenigde Staten van Amerika,Jessica Meir,09/04/2020
62,Verenigde Staten van Amerika,Andrew R. Morgan,09/04/2020
62,Verenigde Staten van Amerika,Christopher Cassidy,09/04/2020
62,Rusland,Anatoli Ivanishin,09/04/2020
62,Rusland,Ivan Vagner,09/04/2020
63,Verenigde Staten van Amerika,Christopher Cassidy,30/05/2020
63,Rusland,Anatoli Ivanishin,30/05/2020
63,Rusland,Ivan Vagner,30/05/2020
63,Verenigde Staten van Amerika,Doug Hurley,30/05/2020
63,Verenigde Staten van Amerika,Bob Behnken[24],30/05/2020
63,Rusland,Sergey Ryzhikov,30/05/2020
63,Rusland,Sergey Kud-Sverchkov,30/05/2020
63,Verenigde Staten van Amerika,Kathleen Rubins,30/05/2020
64,Rusland,Sergey Ryzhikov,16/11/2020
64,Rusland,Sergey Kud-Sverchkov,16/11/2020
64,Verenigde Staten van Amerika,Kathleen Rubins,16/11/2020
64,Verenigde Staten van Amerika,Michael Hopkins,16/11/2020
64,Verenigde Staten van Amerika,Victor Glover,16/11/2020
64,Japan,Soichi Noguchi,16/11/2020
64,Verenigde Staten van Amerika,Shannon Walker,16/11/2020
64,Rusland,Oleg Novitsky,16/11/2020
64,Rusland,Pyotr Dubrov,16/11/2020
64,Verenigde Staten van Amerika,Mark Vande Hei,16/11/2020
65,Verenigde Staten van Amerika,Shannon Walker,23/04/2021
65,Verenigde Staten van Amerika,Michael Hopkins,23/04/2021
65,Verenigde Staten van Amerika,Victor Glover,23/04/2021
65,Japan,Soichi Noguchi,23/04/2021
65,Rusland,Oleg Novitsky,23/04/2021
65,Rusland,Pyotr Dubrov,23/04/2021
65,Verenigde Staten van Amerika,Mark Vande Hei,23/04/2021
65,Japan,Akihiko Hoshide,23/04/2021
65,Verenigde Staten van Amerika,Shane Kimbrough,23/04/2021
65,Verenigde Staten van Amerika,K. Megan McArthur,23/04/2021
65,Frankrijk,Thomas Pesquet,23/04/2021
65,Rusland,Anton Shkaplerov,23/04/2021
